nombre;capacidad_personas;sirve_comida;Tipo_Comida;teléfono;código_postal;código_vía;portal;hora_apertura;hora_cierre
La Chicha;40;SI;TAPAS;636384972;10003;3546;9;8.00;24.00
Camelot Cafés y Tapas;40;SI;TAPAS;+34 617519391;10003;3446;26;8.00;24.00
Boogaloo;50;NO;;+34 617604471;10003;3118;10;19.00;3.00
Las Claras;30;NO;;+34 618402756;10003;477;2;17.00;3.00
Asador La Tahona;78;SI;MEDITERRÁNEA;+34 620389991;10004;3572;4;12.00;24.00
Los Ibéricos;40;SI;MEDITERRÁNEA;+34 637443137;10003;366;14;8.00;24.00
Atico Club-Ático Chillout;40;NO;;+34 639858897;10001;537;43;8.00;24.00
Psicopompo;30;NO;;+34 666449314;10003;304;12;8.00;24.00
La Matilda Taberna CB;30;SI;TAPAS;+34 667470603;10003;3546;9;12.00;24.00
Lambretta;50;NO;;+34 677480372;10003;528;2;17.00;1.00
Bulevar;40;NO;;+34 686244000;10003;168;2;19.00;3.00
Foodie;15;SI;AMERICANA;+34 686244000;10003;168;2;8.00;23.30
La Cacharrería;70;SI;TAPAS;+34 927030723;10001;3581;1;12.00;24.00
Lizarrán 1;40;SI;TAPAS;+34 927042877;10003;330;34;8.00;24.00
New Golden;40;SI;BURGUER;+34 927043273;10003;1390;6;11.00;24.00
Los Baldíos;55;SI;TAPAS;+34 927043338;10001;165;4;11.00;24.00
Los Andares;40;SI;TAPAS;+34 927043627;10001;977;17;12.00;24.00
Domino's Pizza;28;SI;ITALIANA;+34 927211333;10005;1390;10;12.00;24.00
Potosí Vinoteca;35;SI;TAPAS;+34 927212141;10005;1635;25;8.00;24.00
Mastropiero;80;SI;TAPAS;+34 927214837;10003;195;4;13.00;2.00
Yuste (Hotel NH Palacio de Oquendo);60;SI;MEDITERRÁNEA;+34 927215800;10003;1766;11;8.00;24.00
Más Cachito;16;SI;TAPAS;+34 927216743;10001;1285;3;8.00;24.00
Medas La Estación;28;SI;TAPAS;+34 927217134;10005;1219;;7.00;19.00
La Taberna de Santi;16;SI;TAPAS;+34 927220032;10001;977;11;12.00;24.00
Manómetro;40;SI;TAPAS;+34 927220614;10001;3048;6;8.00;24.00
Pizzería Teleremo;40;SI;ITALIANA;+34 927220838;10003;1205;20;12.00;24.00
Mesón del Jamón ;36;SI;TAPAS;+34 927221017;10003;537;4;8.00;24.00
Alcazaba;26;SI;TAPAS;+34 927223663;10001;211;3;9.00;24.00
Burger King 2;100;SI;BURGUER;+34 927231187;10005;3446;1;10.00;24.00
La Dehesa;40;SI;TAPAS;+34 927234269;10003;4006;0;8.00;24.00
Centro de Servicios al Transporte (I.T.V.);48;SI;TAPAS;+34 927238077;10003;2564;;8.00;15.00
Servicio al Viajero;40;SI;TAPAS;+34 927240162;10005;3641;1;8.00;24.00
Hospital San Pedro de Alcántara;80;SI;MEDITERRÁNEA;+34 927243312;10002;3809;7;7.00;22.00
Ciudad Deportiva ;60;SI;TAPAS;+34 927244211;10003;1142;45;7.00;22.00
Adarve;30;SI;MEDITERRÁNEA;+34 927244874;10003;294;4;11.00;24.00
Los Arcos;28;SI;TAPAS;+34 927245145;10003;215;22;8.00;24.00
Burger King 1;80;SI;BURGUER;+34 927245464;10001;227;2;12.00;24.00
Alfonso IX (Hotel);40;SI;MEDITERRÁNEA;+34 927246400;10004;330;9;8.00;24.00
La Estancia;50;SI;TAPAS;+34 927248064;10003;215;6;8.00;24.00
El Encinar;110;SI;TAPAS;+34 927248531 ;10002;215;6;8.00;24.00
Farmacia Legend;40;NO;;+34 927261052;10001;215;20;19.00;24.00
Puerta de Mérida;17;SI;MEDITERRÁNEA;+34 927261068;10003;399;10;12.00;24.00
La Terraza del Príncipe;40;SI;TAPAS;+34 927288067;10001;3534;0;13.00;24.00
Perhaps;40;SI;TAPAS;+34 927289547;10002;304;7;13.30;24.00
Mandía;50;SI;TAPAS;+34 927292780;10006;3755;2;8.00;24.00
Telepizza;60;SI;ITALIANA;+34 927625625;10003;215;12;13.00;24.00
Casa Don Fernando;40;SI;MEDITERRÁNEA;+34 927627176;10003;215;30;8.00;24.00
McDonald's;185;SI;BURGUER;+34 927629116;10005;4022;0;12.00;23.00
El Pequeño Gin;20;NO;;+34 927761574;10003;1393;5;21.00;2.00
Pro-va-lo;45;SI;MEDITERRÁNEA;6.33949332E8;10003;215;20;8.00;24.00
Ezponda 10;25;SI;TAPAS;600 20 16 47;10003;211;10;8.00;24.00
El Tinglao deAlba;40;SI;MEDITERRÁNEA;606 07 76 34;10001;1901;12;9.00;24.00
El Fogon de Toñi;30;SI;MEDITERRÁNEA;609 02 18 49;10001;227;17;8.00;24.00
Pub 33;70;NO;;609 37 97 80;10001;3499;1;22.00;4.00
Pizzería Bartolo;40;SI;ITALIANA;610 38 94 71;10002;611;9;12.00;22.00
Makao;40;NO;;610 57 55 00;10001;165;8;8.00;24.00
En Ca Rosi;25;SI;TAPAS;615 22 94 86;10003;1394;3;8.00;24.00
Romero;25;NO;;615 34 71 94;10005;3213;11;8.00;24.00
El Ultimo Café;20;SI;TAPAS;617 32 53 06;10005;2848;6;8.00;24.00
La Majá;45;SI;TAPAS;618 51 76 76;10003;215;21;8.00;24.00
WyCo;40;SI;BOCADILLO;619 21 39 58;10002;541;16;12.00;24.00
Quereles;40;SI;TAPAS;619 93 15 69;10003;2937;10;8.00;24.00
Tal cual;35;SI;TAPAS;619 93 53 71;10003;215;16;8.00;24.00
Martina;40;NO;;622 09 56 49;10001;165;6;22.00;6.00
La Esencia Extremeña;30;SI;TAPAS;622 52 08 67;10004;1038;1;9.00;24.00
El Señor De La Dehesa;25;SI;TAPAS;622 85 89 30;10004;284;38;8.00;24.00
Maillard;55;SI;TAPAS;625 64 29 06;10002;304;5;10.00;24.00
Plata Domínguez;40;SI;TAPAS;627 96 24 55;10002;1390;24;9.00;24.00
La Casa del Poeta;25;SI;TAPAS;628 24 75 06;10002;3619;1;9.00;24.00
La Marina;35;SI;TAPAS;629 38 62 38;10002;541;18;8.00;24.00
El Rincón Burger Perú;25;SI;BURGUER;633 67 29 54;10005;465;30;11.00;20.00
Big House 2;50;SI;CHINA;635 59 76 81;10005;3643;14;12.00;24.00
Eden;35;NO;;636 51 21 13;10004;87;9;8.00;24.00
El Requeté;60;SI;MEDITERRÁNEA;637 28 67 87;10003;215;27;11.00;24.00
Nuevo Cáceres;40;NO;;637 70 28 45;10005;3645;7;8.00;24.00
Tu Co-Zina;20;SI;MEDITERRÁNEA;640 11 47 22;10001;347;4;11.00;23.00
Triple 20;50;SI;TAPAS;644 82 34 00;10005;1635;4;11.00;2.00
El Rincon;40;SI;MEDITERRÁNEA;650 50 16 83;10003;215;17;8.00;24.00
Emi;20;SI;TAPAS;651 47 26 89;10005;3640;1;8.00;24.00
Trinidad;35;SI;TAPAS;651 95 44 94;10005;1393;21;8.00;24.00
La Lavanderia Street Food;35;SI;AMERICANA;651 95 44 94;10003;247;25;21.00;24.00
La Andaluza;30;SI;TAPAS;654373734-927240478;10003;977;4;8.00;24.00
Tapería Santisteban;90;SI;TAPAS;655 49 58 09;10005;1393;12;12.00;24.00
Zeri’s Coffee Roaster;40;SI;TAPAS;656 87 30 48;10001;222;7;8.00;24.00
Antojerias;40;SI;MEDITERRÁNEA;660 19 61 33;10003;211;5;11.00;24.00
