om_tipoVia;om_nombreVia;om_longitudVia;om_tieneCodigoVia;om_situadaEnBarrio
Avda;De España;1100.52;3048;35
Avda;De España;1100.52;3048;69
Avda;De La Universidad;2606.91;3425;15
Avda;De La Universidad;2606.91;3425;18
Avda;De La Universidad;2606.91;3425;45
Avda;De La Universidad;2606.91;3425;46
Avda;De La Universidad;2606.91;3425;75
Avda;Virgen De Guadalupe;1035.6;537;19
Avda;Virgen De Guadalupe;1035.6;537;26
Avda;Virgen De Guadalupe;1035.6;537;30
Avda;Virgen De Guadalupe;1035.6;537;67
Avda;Virgen De Guadalupe;1035.6;537;68
Avda;Virgen De La Montaña;357.04;541;11
Avda;Virgen De La Montaña;357.04;541;35
Avda;Virgen De La Montaña;357.04;541;69
Calle;Huesca;79.93;1006;21
Calle;Hornillos;99.17;1195;9
Calle;Alcantara;113.89;12;16
Calle;Pintores;227.73;1205;8
Calle;Chile;125.35;127;54
Calle;Clemente Sanchez Ramos;121.05;132;35
Calle;Clemente Sanchez Ramos;121.05;132;67
Calle;Rio Turia;118.69;1335;25
Calle;Comandante Joaquin Gonzalez;183.22;136;64
Calle;San Pedro;126.79;1556;8
Calle;Tintoretto;111.54;162;18
Calle;Donoso Cortes;171.14;168;10
Calle;Donoso Cortes;171.14;168;8
Calle;Duero;70.84;169;25
Calle;Espadan;79.74;1717;63
Calle;Rio Ebro;70.63;172;25
Calle;Aliseda;44.47;19;7
Calle;Adarve De Santa Ana;78.45;2;65
Calle;Adarve De Santa Ana;78.45;2;8
Calle;Hernando Pizarro;77.21;2083;65
Calle;Garrovillas;159.9;209;5
Calle;Clavellinas;104.82;2093;8
Calle;Almonte;131.1;21;25
Calle;General Ezponda;121.25;211;52
Calle;General Margallo;525;213;53
Calle;General Primo De Rivera;129.13;2286;35
Calle;General Primo De Rivera;129.13;2286;67
Calle;Valincoso;212.68;272;14
Calle;Lope De Vega;189.43;284;15
Calle;Ancha;91.17;32;65
Calle;Moret;139.44;330;8
Calle;Santa Lucia;278.53;3367;5
Calle;Fray Bartolome De Las Casas;124.63;3559;63
Calle;Abilio Rodriguez Rosillo;290.41;3656;19
Calle;Parras;229.59;368;8
Calle;Periodista Sanchez Asensio;83.58;377;69
Calle;Esquiladores;880.52;3994;58
Calle;Hilanderas;884.15;3998;58
Calle;San Justo;440.18;441;15
Calle;San Justo;440.18;441;16
Calle;San Justo;440.18;441;53
Calle;Camino Llano;446.28;611;10
Calle;Camino Llano;446.28;611;70
